RBZ;LWK;LWK_NAME;Shape_Leng;Shape_Area
66;1;Kassel-Land I;231368,7072;914354175,4
66;2;Kassel-Land II;145322,8723;213297819,7
66;5;Waldeck-Frankenberg I;283189,5416;1070796685
66;6;Waldeck-Frankenberg II;259415,9937;930988587,1
66;7;Schwalm-Eder I;205429,0323;593886318,2
66;8;Schwalm-Eder II;205841,8386;925339818,1
66;9;Eschwege-Witzenhausen;246146,6854;601070134,1
66;10;Rotenburg;243888,8979;1024655820
66;11;Hersfeld;208342,2827;710426885,5
65;12;Marburg-Biedenkopf I;271992,6964;867234923,6
65;13;Marburg-Biedenkopf II;160085,5967;393923146
66;14;Fulda I;174373,1227;356049772,3
66;15;Fulda II;213820,254;839434944
65;16;Lahn-Dill I;159924,6309;647255293,9
65;17;Lahn-Dill II;134834,0442;372653368,8
65;18;Gie§en I;94659,95442;191861920
65;19;Gie§en II;229658,4625;522952098,2
65;20;Vogelsberg;333501,4424;1597106406
65;21;Limburg-Weilburg I;130005,8929;264222621,6
65;22;Limburg-Weilburg II;183179,0919;519025534,5
64;23;Hochtaunus I;110561,76;254934289,3
64;24;Hochtaunus II;124303,0539;225612809,6
64;25;Wetterau I;95978,189;220896066,4
64;26;Wetterau II;190572,167;640109024,8
64;27;Wetterau III;139712,0132;371143506
64;28;Rheingau-Taunus I;129005,8211;444690917,9
64;29;Rheingau-Taunus II;127146,2624;366679632,8
64;32;Main-Taunus I;87028,66754;99285779,67
64;33;Main-Taunus II;65290,40894;122125581,6
64;40;Main-Kinzig I;121843,0198;241777314,9
64;41;Main-Kinzig II;79290,30393;123181437,7
64;42;Main-Kinzig III;222079,3599;898508799,7
64;43;Offenbach-Stadt;40651,91798;45321031,11
64;44;Offenbach Land I;48845,97858;121981691,9
64;45;Offenbach Land II;59516,98913;75015675,61
64;46;Offenbach Land III;75376,66875;158970913,1
64;47;Gro§-Gerau I;79055,69644;123869539,6
64;48;Gro§-Gerau II;130848,0679;329099856,6
64;51;Darmstadt-Dieburg I;108072,917;158297799,3
64;52;Darmstadt-Dieburg II;103010,6471;320532169,1
64;53;Odenwald;227613,5114;751693571,1
64;54;Bergstra§e I;126625,5546;272392099,1
64;55;Bergstra§e II;167727,2237;318756505,4
66;3;Kassel I;43932,67789;56661366,64
66;4;Kassel II;52074,57273;47876785,3
64;34;Frankfurt am Main I;44812,7789;47755251,6
64;35;Frankfurt am Main II;31835,54743;29550230,81
64;36;Frankfurt am Main III;34414,57124;21568082,57
64;37;Frankfurt am Main IV;48972,50949;70185737,81
64;38;Frankfurt am Main V;18261,29539;12995365,36
64;39;Frankfurt am Main VI;58864,9205;65902996
64;50;Darmstadt-Stadt II;89155,0417;217660609,5
64;49;Darmstadt-Stadt I;48893,37708;83840684,73
64;30;Wiesbaden I;53857,73919;86724700,47
64;31;Wiesbaden II;66919,24509;116928102,3